RISCALDATORE ADDIZIONALE AUTONOMO PROGRAMMABILE WEBASTO;Webasto programmable independent heater ;205
VERNICE METALLIZZATA;Metallic paint;210
ANTIFURTO PERIMETRALE;Perimeter anti-theft system with antilift function ;213
PREDISP. SBRINAMENTO SPECCHI RETROVISORI;Predisposition for rear mirrow defrosting;220
LAME E RIPARI COPPA MOTORE;Engine sump protection ;237
Rear Badging;Rear Badging for Hydrogen;23W
PNEUMATICO EXTRASERIE CAMPING CAR M+S ALL SEASONS;Camping car All Season M+S Tyres;28T
PIANALE VANO CARICO;Flatbed;292
PANCHETTA BIPOSTO CABINA;Two-seater passenger seat bench with folding table;293
PANCHETTA BIPOSTO CABINA;Two-seater passenger seat bench with folding table;293
REGOLAZIONE LOMBARE E BRACCIOLO SEDILE PASSEGGERO;Armrest and lumbar adjustment for passenger?s seat ;297
LIBRETTO CRONOTACHIGRAFO SMART LINGUA NORVEGESE;smart tachograph booklet norwegian;2KS
LIBRETTO CRONOTACHIGRAFO SMART LINGUA FINLANDESE;smart tachograph booklet finnish;2KT
LIBRETTO CRONOTACHIGRAFO SMART LINGUA SERBA;smart tachograph booklet serbian;2KU
SPECIFICITA' MERCATO GIAPPONE;Japan Market Specific contents;2M9
BONIFICO KIT RIDUZIONE CO2;CO2 reduction kit exclusion;2NC
"RADIO DISPLAY 5"" BLUETOOTH + DAB";"Radio Display 5"" Bluetooth + Dab";2PX
"RADIONAVIGATORE DISPLAY 10"" TOUCH BLUETOOTH + DAB + CP/AA + ICS";"Radionav Display 10"" Touch Bluetooth + DAB + CP/AA + ICS";2PZ
"PANCHETTA BIPOSTO ANTERIORE ""EAT&WORK""";"""Eat&Work"" two-seater passenger seat bench";2QC
"QUADRO STRUMENTI DIGITALE DISPLAY 7""";"Full Digital 7"" Cluster";2QF
360› PERIMETER PARKING SENSORS;360› PERIMETER PARKING SENSORS;2V8
IDENTIFICAZIONE VEICOLI LOW DRAG CALIPER;LOW DRAG CALIPER IDENTIFICATION;2VW
QUICK GUIDE MULTILINGUA 1;Multilanguage Quick Guide 1;31Q
QUICK GUIDE MULTILINGUA 2;Multilanguage Quick Guide 2;31R
VOLANTE E POMELLO COMANDO CAMBIO IN PELLE;Leather steering wheel and gear lever knob;320
Electrical charging port for Hydrogen;Electrical charging port for Hydrogen;32D
ABBATTIMENTO ELETTRICO SPECCHI RETROVISORI   ;Electric folding wing mirrors ;341
BARRA PARACICLISTI;Cyclist protection bars ;358
PANNELLI PROTETTIVI INTERNI VANO DI CARICO A MEDIA ALTEZZA ;Load compartment wall protection at half height ;361
CAVERIA EXTRASERIE;Non-standard cables;391
CONTROLLO DINAMICO DI STABILITA` (ESC);ESC;392
Minor index transcodification identification 0 (INDEX 10);Minor index transcodification identification 0 (INDEX 10);3C0
Minor index transcodification identification 1 (INDEX 11);Minor index transcodification identification 1 (INDEX 11);3C1
Minor index transcodification identification 3 (INDEX 13);Minor index transcodification identification 3 (INDEX 13) ;3C3
Minor index transcodification identification 3 (INDEX 13) ;Minor index transcodification identification 3 (INDEX 13) ;3C3
PREDISPOSIZIONE RADIO PESANTE DAB CON ANTENNA RADIO INTEGRATA SPECCHI ESTERNI;DAB radio predisposition with antenna integrated into the external mirrors;3JO
BONIFICO TASTI TELEMATICS BOX MODULE (TBM);Domelamp no e-call buttons;3YC
"RUOTE LEGA 16"" NERO DIAMANTATE LIGHT";"16"" alloy aluminum diamond Black wheels Light";431
Dischi freno maggiorati;Brake discs reinforced;44B
SEDILE GUIDA RISCALDATO;Heated driver?s seat ;453
SEDILE PASSEGGERO REGOLABILE IN ALTEZZA;Height adjustable passenger seat ;454
KIT GONFIAGGIO / RIPARAZ. PNEUMATICI  (FIX & GO) IN SOSTITUZIONE RUOTINO;Fix & Go Puncture Repair Kit;499
CUPHOLDER CENTRALE INFERIORE SU PLANCIA;Lower central cupholders;4B0
MODANATURE PASSARUOTA;ARCHWHEEL MOLDINGS;4BJ
SERBATOIO CARBURANTE DA 60 LITRI;60 Liters Fuel Tank;4DZ
Fari allestitori;Taillights ready for assembly;4EA
PIASTRA PIVOTAMENTO SEDILI;Pivoting plate for front seats;4EB
OMOLOGAZIONE SASO;OMOLOGAZIONE SASO;4EV
