CODICE OPT;MUST HAVE
5VE;Nessun must have
5VR;Nessun must have
5WL;Nessun must have
5XL;[XCP + 57A + 44B + 62E] 
5Z2;Nessun must have
5Z3;Nessun must have
5Z4;Nessun must have
5Z5;Nessun must have
619;Nessun must have
62E;[XCP + 57A + 44B] 
62J;Nessun must have
640;[8RS + 026] 
644;Nessun must have
64E;[8FP] su gamma TL
650;[83.5] 
692;Nessun must have
6BX;Nessun must have
6C1;Nessun must have
6C2;Nessun must have
6HN;Nessun must have
6HP;Nessun must have
6HQ;Nessun must have
6JA;[742 o 745] su Cabinato (TL) Cabinato Special (TL) Scudato Scudato Special
6L3;Nessun must have
6QD;Nessun must have
6QZ;Nessun must have
6R0;[7MB]
6S6;Nessun must have
6SN;Nessun must have
6ZQ;Nessun must have
700;Nessun must have
701;Nessun must have
702;Nessun must have
708;Nessun must have
727;[293]
72X;7MB on Toyota & Iveco N1 versions
732;[(4TI + 4EB+7WV) o 0QB o 0QD o 38J] on ICE Camper or [(4TI+4EB) o 0QB o 0QD o 38J] on BEV Camper
734;Nessun must have
738;Nessun must have
739;[RDG + 5F4]  on Camper and Euro 3 Euro 4 Euro5 Euro 6.1 Euro 6.4PL8 Fiat + PCOV + Toyota or [RDG + RTR + 5F4] for Toyota and Jupiter 
742;Nessun must have
743;Nessun must have
745;Nessun must have
747;[197] su gamma Furgoni Light
749;Nessun must have
750;Nessun must have
75H;Nessun must have
75H;Nessun must have
75J;Nessun must have
75M;Nessun must have
75N;[4NF] on Chassis Cowl Motor Cowls Camper
75Q;[297+454 o 4TH] on all the range except Camper or [BK8] on Van Chassis Cab Motor Cab Camper or [5BH] on Chassis Cowl Motor Cowls Camper
77P;Nessun must have
782;Nessun must have
786;[980]
78D;[431 o 1LR o 0R2 o 5EV] su gamma Light
78N;Nessun must have
78Z;[58G]
7AV;Nessun must have
7B2;Nessun must have
7H4;Nessun must have
7KK;Nessun must have
7MB;[782 + 7KK]  on Panel Van Euro 6E Retail and Euro 3456.16.4PL8
7P7;Nessun must have
7PC;Nessun must have
7Q5;[(4TI + 4EB + 7WV)
7SH;Nessun must have
7UY;Nessun must have
7WV;[8RS] on Euro 6E Retail Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4 PL8 or [8RS or 732 or 4N5 or 7Q5] Camper ICE or [8RS or 727] net RV
7XV;Nessun must have
802;Nessun must have
823;Nessun must have
835;Nessun must have
83H;Nessun must have
850;Nessun must have
851;Nessun must have
852;Nessun must have
853;Nessun must have
856;Nessun must have
864;Nessun must have
86X;Nessun must have
878;Nessun must have
879;Nessun must have
87D;Nessun must have
887;[129]
898;Nessun must have
8A3;Nessun must have
8EJ;[2PX o  2PZ o 38J o 1RB]  su  Euro 3  Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8 or [1RB o 2PZ] on Camper
8F5;[499] su Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
8F6;[499] su Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
8F7;[499] su Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
8F8;[499] su Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
8F9;[499] su Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
8FA;[499] su Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
8FP;[499] su Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
8H7;[499] su Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
8JP;(2QF+026+320+LPZ+051) on CAMPER or [(2QF+026+320+LPZ+8RS+2PX+051)] on Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4 PL8
8JU;Nessun must have
8RS;[2QC+50E] or [297+454+50E] net RV or [7WV] Camper 
8X7;[8XD]
8XD;Nessun must have
8ZJ;[4P4]
92P;Nessun must have
941;[144+404]
943;Nessun must have
947;Nessun must have
980;[786] on retail versions except Motor Cab Retail
988;Nessun must have
9EW;Nessun must have
9RV;Nessun must have
9WE;Nessun must have
A2Q;[BXQ + 4EA] on BEV  or [4EA + 4GM + 4HB] on ICE
A2R;[BXQ + 4EA] on BEV or [4EA + 4GM + 4HB] on ICE
A84;[742 o 745 o 292]
A8J;[72X] or [JCQ] su Furgoni Vetrati e Semi Vetrati Rete or [72X + 520] su Furgoni Lastrati  Rete
A8K;Nessun must have
A8Z;[051+RTR o 5F8+RTR]
AWN;Nessun must have
AX9;[077 + 6JA] on Euro 6E Retail Euro3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
AYK;[8RS o 727 o (453+026+8RS)]
AYN;[0QD o 9EW o (4TI+4EB+50E) o (4GP+4GQ)]
B84;Nessun must have
BKN;[253] on Van Camper
BP6;[8RS]
BP7;[8RS]
BPC;[8RS]
BPD;[8RS]
BPH;[8RS]
CH8;[C3X + C8Q] on BEV
BXQ;[A2Q or A2R or C3X] on BEV
BXR;[Z6L or JC3 or JCQ] on BEV
C3X;[4GM + 54Q + 391 + 1RB + RS3 + 4HH] or [4GM + 54Q + 391 + 2PZ + RS3 + 4HH] on Euro 6E Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8 or [54Q + 391 + BXQ + 4HH] or  [54Q + 391 + CH8 + C8Q + 4HH] on BEV
C3Y;[4GM + 54Q + 391 + C8Q + 4EA + 1RB + RS3 + 4HH] or [4GM + 54Q + 391 + C8Q + 4EA + 2PZ + RS3 + 4HH] on Euro 6E Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8 or [54Q + 391 + C8Q + 4EA + BBP + 4HH] on BEV
C8N;[4GM + 54Q + 391 + C3X] on Euro 6E Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8 or [54Q + 391 + C3X] on BEV
C8P;[4GM + 54Q + 391 + C3X] on Euro 6E Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8 or [54Q + 391 + C3X] or [54Q + 391 + C3Y] on BEV
C8Q;[4GM + 54Q + 391 + C3X + 4EA] on Euro 6E Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8 or [54Q + 391 + C3Y + 4EA + BBP] on BEV
CJ1;[297+454 o 4GQ o 4TI o 0QB o 0QD o 38J o 9EW o 4P4]
GRG;[316] on all Vans except Van Campers or [316+1RB] on Camper
GX4;[026] on Van Chassis Cab Camper excluded Am250
JKU;Nessun must have
LHA;Nessun must have
LPZ;Nessun must have
MBP;[901] on Camper FIAT PEUGEOT CITROEN TOYOTA
MM5;[6HN o 6HP]
MM6;[700 o 702 o 6HN o 6HP]
MMK;Nessun must have
MNG;Nessun must have
NHR;Nessun must have
RDG;[(2PZ+RTK+739+5F4)] on Camper and Euro 3 Euro 4 Euro5 Euro 6.1 Euro 6.4PL8 Fiat + PCOV or [RTR] for Toyota and Jupiter 
RFX;[140]
RS3;[2PZ or 1RB] on Euro 6E retail for Fiat and PCOV
RTK;[(RDG + 2PZ + 739)] for Fiat and PCOV or [(RDG + 2PZ + RTR + 739)] for Toyota and Jupiter
RTR;[RDG + A8Z] or [RDG + CPK]
RTS;[RDG]
XAN;[341]
XCP;[293 or 2QC or 297+454 or 9VX] on BEV Hydrogen Euro 6E Retail Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
XFC;Nessun must have
XL4;Nessun must have
XLE;Nessun must have
XR8;Nessun must have
Z1G;Nessun must have
Z6L;[520] on Panel Van L4H2 on Euro 6E 3 4 5 6.1 6.4PL8 BEV or [516] on Half Glazed Van on BEV
5R8;[081]
C7B;[8RS o 727 o (453+026+8RS)]
C7C;[8RS o 727 o (453+026+8RS)]
AYP;[9WE o 9Z4]
AYQ;[9WE o 9Z4]
BBP;[C3Y + C8Q] on BEV
CK1;[5F4] on Motor Cab versions 
CMW;[2PZ+RS3+140+8EJ] on Chassis Single Cab and Chassis Double Cab RETAIL or [8EJ+2PZ] on Camper
CPK;[051+RTR+1CQ]
J7R;[700]
J2J;[4GP] or [4GQ] or [4TI]
9VX;[502] for camper ICE & BEV
J48;[AX9 + 077 + 6JA] on Euro 6E Retail Euro3 Euro 4 Euro 5 Euro 6.1
J5L;Nessun must have
J5M;[J5L]
JC3;[516 + A8J] on Half Glazed Van BEV and on Euro 6E 3 4 5 6.1 6.4PL8 or [520 + A8J] on Panel Van BEV and L4H2 on Euro 6E 3 4 5 6.1 6.4PL8
JCQ;[516 + A8J] on Half Glazed Van BEV and on Euro 6E 3 4 5 6.1 6.4PL8 or [520 + A8J] on Panel Van BEV and L4H2 on Euro 6E 3 4 5 6.1 6.4PL8
JCR;[JC3 or JCQ]
JJ1;[C3X or C3Y + C8N + C8P + C8Q]
JJ0;[081] on Panel van
JH9;[7UY]
