CODICE OPT;MUST HAVE
732;[(4TI + 4EB) o 0QB o 0QD o 38J] on Panel Van (TL),  Chassis Cab (TL), Motor Cab (TL), Chassis Cab Special (TL)  and on BEV Camper
734;Nessun must have
738;Nessun must have
739;"[RDG]  on Camper
[RDG + RTR + 5F4] for Toyota and Jupiter "
742;Nessun must have
743;Nessun must have
745;Nessun must have
747;[197] su gamma Furgoni Light
749;Nessun must have
750;Nessun must have
75H;Nessun must have
75H;Nessun must have
75J;Nessun must have
75M;Nessun must have
75N;[4NF] on Chassis Cowl, Motor Cowls Camper
75Q;"[297+454 o 4TH] on all the range except Camper
[BK8] on Van, Chassis Cab, Motor Cab Camper
[5BH] on Chassis Cowl, Motor Cowls Camper"
77P;Nessun must have
782;Nessun must have
786;[980]
78D;[ 1LR o 5EV] su gamma Light
78N;Nessun must have
78Z;[58G]
7AV;Nessun must have
7B2;Nessun must have
7H4;Nessun must have
7KK;Nessun must have
7MB;[782 + 7KK]  on Panel Van Euro 7
7P7;Nessun must have
7PC;Nessun must have
7Q5;"[(4TI + 4EB) o 0QB o 0QD] on PCOV Camper Panel Van, Chassis Cab, Chassis Cab Special, Motor Cab
[(4TI + 4EB) o 0QB o 0QD o 4P4] on FIAT Camper Panel Van, Chassis Cab, Chassis Cab Special, Motor Cab"
7SH;Nessun must have
7UY;Nessun must have
7WV;[8RS o 732 ] on BEV, Euro 7
7XV;Nessun must have
802;Nessun must have
823;Nessun must have
835;Nessun must have
83H;Nessun must have
850;Nessun must have
851;Nessun must have
852;Nessun must have
853;Nessun must have
856;Nessun must have
864;Nessun must have
86X;Nessun must have
878;Nessun must have
879;Nessun must have
87D;Nessun must have
887;[129]
898;Nessun must have
8A3;Nessun must have
8EJ;[2PX o  2PZ o 38J o 1RB] su gamma Tempo Libero
8JP;"[(2QF+026+320+LPZ+8RS+051) o (2QF+026+320+LPZ+727+051)] on BEV, EURO 7
(2QF+026+320+LPZ+051) on CAMPER"
8JU;Nessun must have
8RS;"[(7WV+0XW+320+50E+316) or AYK or (640+0XW+320+50E+316) or AYM or (7WV+453+0XW+320+50E+316) or (AYK+685) or C7C or C7B] on Euro 7
[+2QC+50E+7WV] or [+297+454+7WV+50E]"
8X7;[8XD]
8XD;Nessun must have
8ZJ;Nessun must have
92P;Nessun must have
941;[144] on all BEV net RV, Euro 7
943;Nessun must have
947;Nessun must have
980;[786] on retail versions except Motor Cab Retail
988;Nessun must have
9EW;Nessun must have
9RV;Nessun must have
9WE;Nessun must have
A2Q;"[BXQ + 4EA] on BEV 
[4EA + 4GM + 4HB] on ICE"
A2R;"[BXQ + 4EA] on BEV 
[4EA + 4GM + 4HB] on ICE"
A84;"[742 o 745 o 292] su Cabinato Rete
[742 o 745] su Doppia Cabina"
A8J;"[72X] su Furgoni Vetrati e Semi Vetrati Rete
[72X + 520] su Furgoni Lastrati  Rete"
A8K;Nessun must have
A8Z;[051+RTR o 5F8+RTR]
AWN;Nessun must have
AX9;[077 + 6JA] on Euro 7
AYK;[8RS o 727 o (453+026+8RS)]
AYN;[0QD o 9EW o (4TI+4EB+50E) o (4GP+4GQ)]
AYP;[9WE]
AYQ;[9WE]
B84;Nessun must have
BBP;[C3Y + C8Q] on BEV
BKN;[253] on Van Camper
BP6;[8RS]
BP7;[8RS]
BPC;[8RS]
BPD;[8RS]
BPH;[8RS]
BXQ;[A2Q or A2R or C3X] on BEV
BXR;[Z6L] on BEV
C3X;"[4GM + 54Q + 391 + 1RB + RS3 + 4HH] or [4GM + 54Q + 391 + 2PZ + RS3 + 4HH] on Euro 7
[4GM + 54Q + 391 + 1RB + RS3 + 4HH + C8N] or [4GM + 54Q + 391 + 2PZ + RS3 + 4HH + C8N] on L4 lenght Euro 7
[54Q + 391 + BXQ + 4HH] or  [54Q + 391 + CH8 + C8Q + 4HH] on BEV"
C3Y;"[4GM + 54Q + 391 + C8Q + 4EA + 1RB + RS3 + 4HH] or [4GM + 54Q + 391 + C8Q + 4EA + 2PZ + RS3 + 4HH] on Euro 7
[54Q + 391 + C8Q + 4EA + BBP + 4HH] on BEV"
C7B;[8RS o 727 o (453+026+8RS)]
C7C;[8RS o 727 o (453+026+8RS)]
C8N;"[4GM + 54Q + 391 + C3X] or [4GM + 54Q + 391 + C3Y] on Euro 7
[54Q + 391 + C3X] or [54Q + 391 + C3Y] on BEV"
C8P;"[4GM + 54Q + 391 + C3X] or [4GM + 54Q + 391 + C3Y] on Euro 7
[54Q + 391 + C3X] or [54Q + 391 + C3Y] on BEV"
C8Q;"[C8N + 4GM + 54Q + 391 + C3X + 4EA] or [C8N + 4GM + 54Q + 391 + C3Y + 4EA] on Euro 7
[C8N + 54Q + 391 + C3X + 4EA + CH8] or [C8N + 54Q + 391 + C3Y + 4EA + BBP] on BEV"
CH8;[C3X + C8Q] on BEV
CJ1;[297+454 o 4GQ o 4TI o 0QB o 0QD o 38J o 9EW o 4P4]
CMW;[1RB+RS3] or [2PZ+RS3+140] on Chassis Single Cab and Chassis Double Cab RETAIL
CPK;[051+RTR+1CQ]
GRG;"[316] on all Vans except Van Campers
[RFX or BK9 or BKA] on Chassis Cab Camper
[RFX + 316] on Van Camper"
GX4;[026] on Van, Chassis Cab Camper excluded Am250
J48;"[AX9 + 077 + 6JA] on Euro 7
[AX9 ] on BEV"
J5M;[J5L]
JKU;Nessun must have
LHA;Nessun must have
LPZ;Nessun must have
MBP;"[901] on Camper FIAT, PEUGEOT, CITROEN, TOYOTA
[901 + LPZ] on Bev. Euro 7 Retail FIAT, PEUGEOT, CITROEN, TOYOTA
[901 + MM5] on Camper OPEL
[901 + LPZ + MM5] on Bev. Euro 7, Euro 3,  Euro 4, Euro 5, Euro 6.1, Euro 6.4 PL8 Retail OPEL"
MM5;[6HN o 6HP]
MM6;[700 o 702 o 6HN o 6HP]
MMK;Nessun must have
MNG;Nessun must have
NHR;Nessun must have
RDG;"[(2PZ+RTK+739) or (1RB + RTK+739) or (2PX+RTK+739)] on Camper
[RTR] for Toyota and Jupiter "
RFX;[140]
RS3;[2PZ or 1RB] on Euro 7 retail, for Fiat and PCOV
RTK;"[(RDG + 2PZ + 739) o (RDG + 1RB + 739) or (RDG + 2PX + 739)] for Fiat and PCOV
[(RDG + 2PZ + RTR + 739) o (RDG + 1RB + RTR + 739) or (RDG + 2PX + RTR + 739)] for Toyota and Jupiter"
RTR;[RDG + A8Z] or [RDG + CPK]
RTS;[RDG]
XAN;[341]
XCP;[293 or 2QC or 297+454] on BEV, Hydrogen, Euro 7 Retail, Euro 3, Euro 4, Euro 5, Euro 6.1, Euro 6.4PL8
XFC;Nessun must have
XL4;Nessun must have
XLE;Nessun must have
XR8;Nessun must have
Z1G;Nessun must have
Z6L;"[72X + 516] on Half Glazed Van and  on Euro 7, 3, 4, 5, 6.1, 6.4PL8
[72X] on Panel Van L2H1   Euro 7, 3, 4, 5, 6.1, 6.4PL8
[72X + 520] on Panel Van L4H2 on Euro 7, 3, 4, 5, 6.1, 6.4PL8

[72X + BXR + 516] on Half Glazed Van on BEV
[72X + 520 + BXR] on Panel Van on BEV"
